float_file,date,lat,lon,ocean,profiler_type,pressure,temperature,salinity
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,701.6,5.472,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,711.8,5.348,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,722.0,5.245,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,732.2,5.184,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,742.3,5.13,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,752.5,5.103,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,762.7,4.981,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,772.9,4.938,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,783.1,4.854,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,793.2,4.821,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,803.4,4.811,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,813.6,4.781,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,823.8,4.748,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,834.0,4.734,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,844.1,4.744,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,854.3,4.718,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,864.5,4.688,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,874.7,4.655,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,884.9,4.615,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,895.0,4.569,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,905.2,4.572,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,915.4,4.579,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,925.6,4.553,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,935.8,4.536,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,945.9,4.553,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,956.1,4.54,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,966.3,4.53,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,976.5,4.52,
